[2020-07-20 07:15:33] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[16750336]
[2020-07-20 07:15:33] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-335546624]
[2020-07-20 08:00:26] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:00:28] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:00:28] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1409283840]
[2020-07-20 08:00:28] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1400891136]
[2020-07-20 08:00:30] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:00:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:00:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-738199808]
[2020-07-20 08:00:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-746592512]
[2020-07-20 08:00:32] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:00:34] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:00:34] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[721409792]
[2020-07-20 08:00:34] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[713017088]
[2020-07-20 08:01:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:01:56] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:01:56] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-838879488]
[2020-07-20 08:01:56] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-847272192]
[2020-07-20 08:01:58] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:01:59] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:01:59] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1518360832]
[2020-07-20 08:01:59] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1526753536]
[2020-07-20 08:02:11] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:02:13] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:02:13] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1241495296]
[2020-07-20 08:02:13] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1233102592]
[2020-07-20 08:03:36] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:03:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:03:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[335542016]
[2020-07-20 08:03:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[327149312]
[2020-07-20 08:04:35] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:04:37] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:04:37] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1929369344]
[2020-07-20 08:04:37] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1937762048]
[2020-07-20 08:06:18] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:06:19] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:06:19] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1149245696]
[2020-07-20 08:06:19] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1157638400]
[2020-07-20 08:06:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:06:57] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:06:57] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1486198528]
[2020-07-20 08:06:57] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1006630656]
[2020-07-20 08:08:11] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:08:12] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:08:12] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[150968064]
[2020-07-20 08:08:12] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-268437760]
[2020-07-20 08:08:50] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:08:52] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:08:52] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1375750400]
[2020-07-20 08:08:52] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1384143104]
[2020-07-20 08:09:32] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:09:33] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:09:33] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1509968128]
[2020-07-20 08:09:33] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1518360832]
[2020-07-20 08:09:45] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:09:46] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:09:46] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1409288448]
[2020-07-20 08:09:46] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1417681152]
